,state,county,cofips,race,sex,renters,variance
352,AL,JACKSON,1071,black,male,314.028368794326,3640.11322531169
353,AL,JACKSON,1071,hisp,female,183.96451914099,5108.05729063666
354,AL,JACKSON,1071,hisp,male,262.153127917834,10356.4033372295
355,AL,JACKSON,1071,other,female,145.483180428135,1170.38351363551
356,AL,JACKSON,1071,other,male,70.1498470948012,284.669799861769
357,AL,JACKSON,1071,white,female,5106.49851915544,45246.5410710701
358,AL,JACKSON,1071,white,male,4313.47855163848,32591.5761105766
359,AL,JEFFERSON,1073,asian,female,1572.0,1548.79030406723
360,AL,JEFFERSON,1073,asian,male,1738.0,1700.95936285938
361,AL,JEFFERSON,1073,black,female,52879.0,33497.3959356014
362,AL,JEFFERSON,1073,black,male,36906.0,27104.175512061
363,AL,JEFFERSON,1073,hisp,female,3469.0,3377.54711685205
364,AL,JEFFERSON,1073,hisp,male,5587.0,5347.22136417728
365,AL,JEFFERSON,1073,other,female,1412.0,1395.96062876749
366,AL,JEFFERSON,1073,other,male,938.0,931.483181047657
367,AL,JEFFERSON,1073,white,female,29238.0,22662.6560588815
368,AL,JEFFERSON,1073,white,male,27533.0,21771.7403119101
369,AL,LAMAR,1075,asian,female,0.0,0.0
370,AL,LAMAR,1075,asian,male,0.0,2092.9758484915
371,AL,LAMAR,1075,black,female,319.894314381271,2135.97073211219
372,AL,LAMAR,1075,black,male,226.346488294314,1083.80807348115
373,AL,LAMAR,1075,hisp,female,34.1391304347826,590.420923812898
374,AL,LAMAR,1075,hisp,male,39.904347826087,805.910745240324
375,AL,LAMAR,1075,other,female,0.0,194.00414714248
376,AL,LAMAR,1075,other,male,0.0,1183.1832508071
377,AL,LAMAR,1075,white,female,1174.6845,12843.6150243921
378,AL,LAMAR,1075,white,male,933.8773,8141.45122038021
379,AL,LAUDERDALE,1077,asian,female,163.648351648352,909.475964959283
380,AL,LAUDERDALE,1077,asian,male,116.571428571429,486.53782401857
381,AL,LAUDERDALE,1077,black,female,1725.0,19293.1242194937
382,AL,LAUDERDALE,1077,black,male,1224.0,9891.50224596993
383,AL,LAUDERDALE,1077,hisp,female,302.014311270125,7834.753640451
384,AL,LAUDERDALE,1077,hisp,male,314.436493738819,8490.00210539579
385,AL,LAUDERDALE,1077,other,female,207.813411078717,3706.74266818726
386,AL,LAUDERDALE,1077,other,male,101.545189504373,905.479801788452
387,AL,LAUDERDALE,1077,white,female,9081.07273158019,43433.3632524411
388,AL,LAUDERDALE,1077,white,male,7026.22316986496,26903.6557373428
389,AL,LAWRENCE,1079,asian,female,0.0,22.5995694792177
390,AL,LAWRENCE,1079,asian,male,0.0,527.951053667279
391,AL,LAWRENCE,1079,black,female,453.117112299465,2408.12297551106
392,AL,LAWRENCE,1079,black,male,326.816042780749,1265.26979053868
393,AL,LAWRENCE,1079,hisp,female,0.0,446.912718191326
394,AL,LAWRENCE,1079,hisp,male,0.0,761.330777856626
395,AL,LAWRENCE,1079,other,female,83.0263157894737,954.197902766764
396,AL,LAWRENCE,1079,other,male,53.1578947368421,393.665452772103
397,AL,LAWRENCE,1079,white,female,1888.52419121198,18134.4799605907
398,AL,LAWRENCE,1079,white,male,1623.16658619025,13441.4046316403
399,AL,LEE,1081,asian,female,948.0,928.145719650944
400,AL,LEE,1081,asian,male,1252.0,1217.37050701425
401,AL,LEE,1081,black,female,7996.0,6583.51759637689
402,AL,LEE,1081,black,male,4571.0,4109.40625207114
403,AL,LEE,1081,hisp,female,826.0,810.927073898155
404,AL,LEE,1081,hisp,male,1068.0,1042.8011929747
405,AL,LEE,1081,other,female,251.0,249.608174085938
406,AL,LEE,1081,other,male,657.0,647.463956699437
407,AL,LEE,1081,white,female,13589.0,9509.4480061858
408,AL,LEE,1081,white,male,14107.0,9710.50272837733
409,AL,LIMESTONE,1083,asian,female,140.094339622642,3224.93590220795
410,AL,LIMESTONE,1083,asian,male,194.094339622642,6152.10075447288
411,AL,LIMESTONE,1083,black,female,1332.70967741936,13902.4683559224
412,AL,LIMESTONE,1083,black,male,1258.48387096774,12426.3795965372
413,AL,LIMESTONE,1083,hisp,female,790.083081570997,45701.8660818923
414,AL,LIMESTONE,1083,hisp,male,636.077039274925,29721.0060506942
